title,released year,duration,rating,story line,watch on,watch link
Andaz Apna Apna,1994,2h 40m,8.0,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.f8b3c8ac-b2ec-6b0a-74f0-6732031303a4
Special 26,2013,2h 24m,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,N/A,N/A
Maqbool,2003,2h 12m,8.0,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.90b862e8-e6a4-1fdf-d78d-67376458212d
Vaaranam Aayiram,2008,2h 49m,8.2,"A father and son help each other through growing up, romance, tragedy, and adventure.",SunNxt,https://www.sunnxt.com/
Thadam,2019,2h 18m,8.2,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.,SunNxt,https://www.sunnxt.com/
Padaiyappa,1999,3h 1m,8.2,"The death of Padaiyappa's father destroys his family. But his luck changes, and he is able to lead a prosperous life, until his nemesis plots to ruin his happiness once more.",Voot,https://www.voot.com/
Gulaal,2009,2h 20m,8.0,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.",N/A,N/A
Maanaadu,2021,2h 27m,8.3,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",N/A,N/A
K.G.F: Chapter 2,2022,2h 48m,8.3,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.81e77634-7c41-4e9e-a18c-9b30afed9a56
Pelli Choopulu,2016,2h 5m,8.2,A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.,SunNxt,https://www.sunnxt.com/
Ulidavaru Kandanthe,2014,2h 34m,8.4,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",SunNxt,https://www.sunnxt.com/
Deewaar,1975,2h 54m,8.0,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.",N/A,N/A
Company,2002,2h 22m,8.0,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai.",N/A,N/A
Vaastav: The Reality,1999,2h 25m,8.0,Consequences force an innocent man to get involved in crime after making an error.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.d8b52384-f653-3eaf-c2fc-abc4ceda9cff
Ugly,2013,2h 8m,7.9,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Hotstar,https://www.hotstar.com/
Badhaai Ho,2018,2h 4m,7.9,A man is embarrassed when he finds out his mother is pregnant.,Hotstar,https://www.hotstar.com/
Naduvula Konjam Pakkatha Kaanom,2012,2h 35m,8.2,"A young man forgets a few years of his life, even as he is about to get married.",SunNxt,https://www.sunnxt.com/
Padosan,1968,2h 37m,8.1,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.8ab3ff55-0321-d1cb-1eb3-6ab31f326674
Gully Boy,2019,2h 34m,7.9,A coming-of-age story based on the lives of street rappers in Mumbai.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.32b4b88c-7e89-63f2-8887-3e226184c036
Kshanam,2016,1h 50m,8.2,"Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",SunNxt,https://www.sunnxt.com/
Evaru,2019,1h 58m,8.1,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,N/A,N/A
Aadukalam,2011,2h 40m,8.1,"In a village in South India, rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people.",SunNxt,https://www.sunnxt.com/
My Name Is Khan,2010,2h 45m,7.9,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,N/A,N/A
Nayattu,2021,2h 4m,8.1,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much human police officers and their helplessness.",Netflix,https://www.netflix.com/watch/81457107?source=imdb
Dev.D,2009,2h 24m,7.9,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Netflix,https://www.netflix.com/watch/70113305?source=imdb
Maanagaram,2017,2h 17m,8.1,Four youngsters arrive in a big city and their lives become interlinked.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.37f0fd09-c3dc-4d1e-a8c9-8b490acd3ffc
Major,2022,2h 30m,8.2,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Netflix,https://www.netflix.com/watch/81242575?source=imdb
Thondi Muthalum Driksakshiyum,2017,2h 15m,8.1,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain during a bus journey.",Hotstar,https://www.hotstar.com/
Pranchiyettan and the Saint,2010,2h 20m,8.3,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name for himself using wealth and contacts.,SunNxt,https://www.sunnxt.com/
Kal Ho Naa Ho,2003,3h 6m,7.9,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Netflix,https://www.netflix.com/watch/60036735?source=imdb
Garuda Gamana Vrishabha Vahana,2021,2h 31m,8.4,"Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their own downfall and destruction.",N/A,N/A
22 Shey Shraban,2011,2h 19m,8.1,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,Hotstar,https://www.hotstar.com/
Take Off,2017,2h 19m,8.1,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture.",N/A,N/A
Jab We Met,2007,2h 18m,7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.40b44d0c-4760-3773-5e98-b63d0c79b7e2
Manjhi: The Mountain Man,2015,2h,8.0,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Netflix,https://www.netflix.com/watch/80165852?source=imdb
Ayyappanum Koshiyum,2020,2h 57m,8.0,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.deb84ff6-abdc-f9aa-0223-a2133e83c0aa
Ship of Theseus,2012,2h 20m,8.0,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",N/A,N/A
The Brawler,2017,2h 34m,8.0,A boxer struggles to make his mark in the boxing world.,MX Player,https://www.mxplayer.in/
Charlie,2015,2h 10m,8.0,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",N/A,N/A
Border,1997,2h 56m,7.9,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",N/A,N/A
Deiva Thirumagal,2011,2h 46m,8.2,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",MX Player,https://www.mxplayer.in/
Vedam,2010,2h 15m,8.1,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy.",SunNxt,https://www.sunnxt.com/
Dil Bechara,2020,1h 41m,8.4,"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.",Hotstar,https://www.hotstar.com/
M.S. Dhoni: The Untold Story,2016,3h 4m,7.9,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Hotstar,https://www.hotstar.com/
Baahubali: The Beginning,2015,2h 39m,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Hotstar,https://www.hotstar.com/
Salaam Bombay!,1988,1h 53m,7.9,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.",N/A,N/A
Arjun Reddy,2017,3h 2m,8.0,"Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.9aaf83c0-fed8-d3b2-50b4-c88b9d5cb5ed
Karnan,2021,2h 38m,8.0,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.30f01c7b-c9ce-429d-a550-9decb071f906
Pad Man,2018,2h 20m,7.9,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",Netflix,https://www.netflix.com/watch/81016191?source=imdb
Ankhon Dekhi,2013,1h 47m,7.9,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.f8b3bae8-3152-db62-916f-820efb171a98
Baby,2015,2h 39m,7.9,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",N/A,N/A
Love Today,2022,2h 34m,8.2,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",Netflix,https://www.netflix.com/watch/81642992?source=imdb
The Music Room,1958,1h 35m,7.9,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.1117b6fc-44ee-44ef-8a9a-7b4b4270ae0e
Kirik Party,2016,2h 39m,8.3,"Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college.",Voot,https://www.voot.com/
