title,released year,duration,rating,story line,watch on,watch link
Ramayana: The Legend of Prince Rama,1993,1h 37m,9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.",N/A,N/A
Rocketry: The Nambi Effect,2022,2h 37m,8.8,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.1fdecee8-fda8-4bbc-827b-8c869929c71c
Nayakan,1987,2h 25m,8.6,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.62b4278d-80cb-dfb5-a6cb-4773e87c1523
Gol Maal,1979,2h,8.5,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.acb9d1a4-20a2-004d-1856-0f77adc7afb2
777 Charlie,2022,2h 44m,8.9,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Voot,https://www.voot.com/
Anbe Sivam,2003,2h 40m,8.6,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.44b40bf9-5733-cbef-49dd-cad4df04c537
Jai Bhim,2021,2h 44m,8.8,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.460ca3e8-c2a4-4027-8600-69364b086651
Pariyerum Perumal,2018,2h 34m,8.7,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a4b36956-d5a4-dd46-e187-318cad35e135
3 Idiots,2009,2h 50m,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.6ab5ef5d-dd32-c5ab-3a8f-0aff6123c065
Manichithrathazhu,1993,2h 49m,8.8,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.eab7aea5-ebbc-f3db-a15f-e821f08c5291
#Home,2021,2h 38m,8.8,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.6c676339-d720-4977-bac3-90ef577b40de
Soorarai Pottru,2020,2h 33m,8.7,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.d0ba92e3-aa61-50c2-f90e-4f8cc38b7635
Black Friday,2004,2h 23m,8.4,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Hotstar,https://www.hotstar.com/
Kumbalangi Nights,2019,2h 15m,8.5,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.24b7b697-f43e-883a-9177-bccefb36bb08
C/o Kancharapalem,2018,2h 32m,8.8,Four unconventional love stories set in the town and including the people of Kancherapalem.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a0bab610-e95e-1413-4be0-50536a5e675e
Like Stars on Earth,2007,2h 45m,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Netflix,https://www.netflix.com/watch/70087087?source=imdb
Kireedam,1989,2h 4m,8.9,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.b2b87287-2af8-2252-b45a-8387afca4718
Dangal,2016,2h 41m,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,N/A,N/A
Kaithi,2019,2h 25m,8.5,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Hotstar,https://www.hotstar.com/
Jersey,2019,2h 37m,8.5,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,Hotstar,https://www.hotstar.com/
96,2018,2h 38m,8.5,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,MX Player,https://www.mxplayer.in/
Mayabazar,1957,3h 12m,9.1,"Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.86b40aca-90b4-0397-d991-c9ee9dd051dd
Natsamrat,2016,2h 46m,8.8,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.0eb85720-4d82-aab9-a281-7ed34bf3d436
Drishyam 2,2021,2h 32m,8.4,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.aebb7893-1821-00f4-3077-1e538e6f5278
Asuran,2019,2h 21m,8.4,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.28b6fe40-2d4e-4b01-d602-f9abb11a6938
Sita Ramam,2022,2h 43m,8.6,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.0f68d95c-fc37-4a3a-b08a-f567c022a2d8
Thevar Magan,1992,2h 25m,8.7,The urbane son of a village chieftain struggles between his personal aspirations and those of his family.,N/A,N/A
Visaaranai,2015,1h 57m,8.5,Four labourers are tortured by the police to confess to a theft they have not committed.,Netflix,https://www.netflix.com/watch/80149139?source=imdb
Sarpatta Parambarai,2021,2h 53m,8.5,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.ea0da1a3-1ee6-4f84-968b-f0aa5ee37c6f
Thalapathi,1991,2h 37m,8.5,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.06b4c449-a4d2-9584-bcb8-c2e2da899ab9
Pather Panchali,1955,2h 5m,8.3,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.4915528e-b542-4800-abe9-d6d4c6ffe262
Nadodikkattu,1987,2h 38m,8.8,"After losing their jobs in Kerala, Dasan and Vijayan decide to migrate to the Middle East. But they end up in Tamil Nadu where they are mistaken as two CID officers by a group of smugglers.",N/A,N/A
Drishyam,2013,2h 40m,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Hotstar,https://www.hotstar.com/
Jaane Bhi Do Yaaro,1983,2h 12m,8.3,"Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.",N/A,N/A
Thani Oruvan,2015,2h 40m,8.4,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",MX Player,https://www.mxplayer.in/
Sardar Udham,2021,2h 44m,8.4,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.29a29dc8-848a-475b-8eea-c0f3d2cd9247
Aparajito,1956,1h 50m,8.3,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.306cf44a-f3c0-4436-80ea-355024a9d5e6
Vada Chennai,2018,2h 44m,8.4,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,Hotstar,https://www.hotstar.com/
Khosla Ka Ghosla!,2006,2h 15m,8.3,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,Hotstar,https://www.hotstar.com/
Anniyan,2005,3h 1m,8.3,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night. He uses tips from the 'Garuda Purana' as his tools to expose various antisocial elements.",SunNxt,https://www.sunnxt.com/
Raatchasan,2018,2h 50m,8.3,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Hotstar,https://www.hotstar.com/
Chupke Chupke,1975,2h 26m,8.3,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.c2b9e3c2-d226-5a28-2fbe-d9ad526bc953
Gangs of Wasseypur,2012,5h 21m,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a6b58658-eeb3-e776-a625-eaf019d6cf70
Peranbu,2018,2h 27m,8.7,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.9eb48f5a-b40b-2137-540a-00ca07f7eef5
Drishyam,2015,2h 43m,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Hotstar,https://www.hotstar.com/
Mahanati,2018,2h 57m,8.4,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a6b40dc4-d6a1-c298-f437-eb470b31e27a
Bangalore Days,2014,2h 51m,8.3,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",Hotstar,https://www.hotstar.com/
Satya,1998,2h 50m,8.3,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,MX Player,https://www.mxplayer.in/
Premam,2015,2h 36m,8.3,A young man has three opportunities to find love. Will the third time be the charm?,Hotstar,https://www.hotstar.com/
Agent Sai Srinivasa Athreya,2019,2h 28m,8.3,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.aea9d4cf-8aa8-4d93-b36d-3f925055d2b1
Devasuram,1993,3h 7m,8.7,"Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his life.",MX Player,https://www.mxplayer.in/
Super Deluxe,2019,2h 56m,8.3,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",Netflix,https://www.netflix.com/watch/81128584?source=imdb
Bhaag Milkha Bhaag,2013,3h 6m,8.2,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Hotstar,https://www.hotstar.com/
Tumbbad,2018,1h 44m,8.2,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.4cb3965f-e34d-3f49-a60c-acc2bc1f9065
Andhadhun,2018,2h 19m,8.2,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",JioCinema,https://www.jiocinema.com/
Vikram Vedha,2017,2h 27m,8.2,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Hotstar,https://www.hotstar.com/
Guide,1965,2h,8.4,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",N/A,N/A
Chithram,1988,2h 39m,8.7,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.,Hotstar,https://www.hotstar.com/
Zindagi Na Milegi Dobara,2011,2h 35m,8.2,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Netflix,https://www.netflix.com/watch/70202336?source=imdb
Kannathil Muthamittal,2002,2h 16m,8.4,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.aab4279f-02e1-74a6-2116-41d79fdfc089
Vikram,2022,2h 55m,8.3,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Hotstar,https://www.hotstar.com/
Sairat,2016,2h 54m,8.3,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.",N/A,N/A
Chhichhore,2019,2h 23m,8.3,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Hotstar,https://www.hotstar.com/
Shahid,2012,2h 9m,8.2,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",N/A,N/A
Iruvar,1997,2h 20m,8.4,"A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political post in the state, a rift develops between them.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.b2b4e537-08fe-5d18-01ac-d11fb612a477
Paan Singh Tomar,2012,2h 15m,8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Netflix,https://www.netflix.com/watch/70123126?source=imdb
Swades,2004,3h 9m,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Netflix,https://www.netflix.com/watch/70019491?source=imdb
Munna Bhai M.B.B.S.,2003,2h 36m,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.0eb620e0-09e4-053f-0dbe-9e498c8a1017
Spadikam,1995,2h 30m,8.6,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,See Showtimes,/showtimes/title/tt0292246/2023-02-15
Let's Go! India,2007,2h 33m,8.1,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.e6abea87-2da4-b85e-a655-8297823d5e44
Uri: The Surgical Strike,2019,2h 18m,8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",N/A,N/A
Thirst,1957,2h 26m,8.3,A talented but indigent poet Vijay struggles for love and recognition in this selfish world.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.3ab3088a-b134-9d53-3c57-ea6e0b81dbe1
Mudhalvan,1999,2h 49m,8.4,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",Voot,https://www.voot.com/
Black,2005,2h 2m,8.1,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",N/A,N/A
Jo Jeeta Wohi Sikandar,1992,2h 54m,8.2,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",N/A,N/A
Hera Pheri,2000,2h 36m,8.1,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.ccb4bb1e-3252-0cbc-c0ac-f1dcc5ad0ff1
Drishyam 2,2022,2h 20m,8.3,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.2a67b1bd-15a9-414c-97e9-8ccb8380eff4
Papanasam,2015,2h 59m,8.4,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,SunNxt,https://www.sunnxt.com/
Lagaan: Once Upon a Time in India,2001,3h 44m,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Netflix,https://www.netflix.com/watch/60020906?source=imdb
Pudhu Pettai,2006,2h 48m,8.5,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.02b41659-92b7-e4d6-b677-afd5d98cdb40
Dhuruvangal Pathinaaru,2016,1h 45m,8.2,"A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.",Hotstar,https://www.hotstar.com/
PK,2014,2h 33m,8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,Netflix,https://www.netflix.com/watch/70303496?source=imdb
Mandela,2021,2h 20m,8.4,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,N/A,N/A
Queen,2013,2h 26m,8.1,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Netflix,https://www.netflix.com/watch/80032081?source=imdb
Article 15,2019,2h 10m,8.1,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Netflix,https://www.netflix.com/watch/81154455?source=imdb
Talvar,2015,2h 12m,8.1,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Hotstar,https://www.hotstar.com/
Soodhu Kavvum,2013,2h 15m,8.3,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.",MX Player,https://www.mxplayer.in/
OMG: Oh My God!,2012,2h 5m,8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Netflix,https://www.netflix.com/watch/70258366?source=imdb
Sarfarosh,1999,2h 54m,8.1,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",N/A,N/A
Sholay,1975,2h 42m,8.1,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.b0b65dfd-69d0-c459-39ef-bcea64280993
Udaan,2010,2h 14m,8.1,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Netflix,https://www.netflix.com/watch/70139542?source=imdb
Barfi!,2012,2h 31m,8.1,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Netflix,https://www.netflix.com/watch/70219525?source=imdb
Jigarthanda,2014,2h 51m,8.2,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.",Hotstar,https://www.hotstar.com/
The Legend of Bhagat Singh,2002,2h 35m,8.2,The story of a young revolutionary who raised an armed resistance against the British rule in India.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.9eb613d1-c8bc-557d-c959-38d7c65f1959
Kaakkaa Muttai,2014,1h 31m,8.3,Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?,Hotstar,https://www.hotstar.com/
Ustad Hotel,2012,2h 31m,8.2,"Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever.",Hotstar,https://www.hotstar.com/
Theeran Adhigaram Ondru,2017,2h 37m,8.2,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.b0b4dfce-4be1-4d58-d8c3-0c3e457e4480
Baahubali 2: The Conclusion,2017,2h 47m,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Hotstar,https://www.hotstar.com/
Rang De Basanti,2006,2h 47m,8.1,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Netflix,https://www.netflix.com/watch/70047320?source=imdb
Angoor,1982,2h 11m,8.3,"Based on Shakespeare's 'A Comedy of Errors', this is a story of identical twins (2 pairs) and mistaken identities.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.56b896ad-5128-6dad-491a-29997a0e8f19
Jana Gana Mana,2022,2h 42m,8.3,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.",Netflix,https://www.netflix.com/watch/81609577?source=imdb
Kahaani,2012,2h 2m,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",N/A,N/A
Masaan,2015,1h 49m,8.1,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.6bf05b79-1c3c-484e-af1e-034b6ae42299
Maheshinte Prathikaaram,2016,2h,8.3,"Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life.",N/A,N/A
A Wednesday,2008,1h 44m,8.1,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Netflix,https://www.netflix.com/watch/70107499?source=imdb
Virumandi,2004,2h 55m,8.4,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.38bb7918-78a9-b717-6e71-8d09a56a4ecf
